,nSpiro,C4SP3,GATS8s,n5ARing,SssCH2,nARing,Xpc-5dv,ATSC3d,Xc-4dv,ATSC5d,SMR_VSA4,GATS8se,n5AHRing,MDEC-24,ATSC6v,GATS2d,n6ARing,ATSC3v,nAHRing,ATSC6m,nHRing,ATSC2d,PEOE_VSA7,Xc-3dv,SMR_VSA6,GATS4dv,MATS4s,MAXssCH2
SMR_VSA4,-0.004471219227262655,0.39570730620874806,-0.057502315900396575,0.33043961863698673,0.255820477176957,0.472391767281872,0.5001100751832485,0.023901634534434477,0.25877539714319797,-0.08423017377068975,1.0,-0.04188924376751657,0.19765756925428798,0.14585233415218038,0.040687943365903013,0.2543242343148605,0.3290732903610758,-0.177922473258325,0.21876559041217863,0.05155478430655419,-0.0284197489842258,0.007349064818192973,0.21404590007540442,0.43351317412806983,-0.0825879069691594,-0.08435244652971838,0.11921354106646972,0.15086204429783134
GATS8se,0.08525396164799577,0.0296020187331083,0.9365948578334843,0.02864779890695528,0.07882439681216022,-0.05457937188215385,-0.0637722848497739,-0.058108710669990654,0.0070345803764058894,0.33737243941777645,-0.04188924376751657,1.0,0.03143510454232829,0.015617978226034227,0.30071739262374725,0.04031917079108638,-0.046572667296254464,-0.04580582884541774,-0.008211715903686738,0.28659587042084445,0.0847796112266753,-0.0928333189610895,-0.08487688355388458,-0.022365023479302488,-0.008245527092668476,-0.12361287957734149,0.12228520077340674,0.036242077508940256
n5AHRing,0.39264819105834425,0.049983866051475825,0.060423567109143414,0.9283588669130377,0.02629169410031338,0.48206142004202346,0.2912566445281092,-0.15801446895795487,0.15115631001070487,0.11471093039826975,0.19765756925428798,0.03143510454232829,1.0,0.20948401363957062,-0.012596474840187654,0.08600653924634637,0.049854965736978105,-0.15738983060438208,0.6419980576136614,0.04617849637427626,0.2951560052980901,-0.05514191250898226,0.20221054182749507,0.2433883730448157,0.20456462701044825,-0.03629816573040073,-0.028774620954207797,0.031703636131329684
MDEC-24,0.3413036300274942,0.3700957539524076,0.04782334886503581,0.269153793871284,0.03894670177055291,0.4583797513376083,0.5157708659904026,-0.409362245189233,0.6891814761022222,0.1242420203558246,0.14585233415218038,0.015617978226034227,0.20948401363957062,1.0,0.02311859637442966,0.552894285515599,0.38307301509688574,-0.33290379332618436,0.2596406612901464,0.20650247879514552,0.10553020868535393,-0.333056093999394,0.09294037948839436,0.5176847731121448,-0.0378236821560138,-0.25944575044061663,0.29207923209507985,0.07008634837806155
ATSC6v,0.037780609400093375,0.16892917420000286,0.3168236436827661,0.05895153232135059,0.04204136044165507,-0.06272988773006322,0.01705500218776438,-0.35008109791270553,0.04672850014888304,0.78232227481765,0.040687943365903013,0.30071739262374725,-0.012596474840187654,0.02311859637442966,1.0,0.20885510454044254,0.08591777988258711,-0.33406856931952644,-0.1326333116388741,0.781400258217275,-0.016217229201587257,-0.3562172405076724,0.11426896989489363,0.018492167176818133,-0.1769186386485897,-0.2750445093775511,0.11188064129564149,-0.07478369442777143
GATS2d,0.1828145565670321,0.47093089343417743,0.09707094731934718,0.14253099248824005,0.06642418462442133,0.26027926551282077,0.2087077576390771,-0.5232703533734693,0.6240010176583023,0.2377667926665436,0.2543242343148605,0.04031917079108638,0.08600653924634637,0.552894285515599,0.20885510454044254,1.0,0.2805414554896699,-0.6830875007903752,0.17092419898413233,0.35940753834646644,-0.21097918044205619,-0.7173255779843424,0.20615976317884976,0.3617374449261404,-0.030702505616733558,-0.18564980320278118,0.3355484022811879,0.08436918029123633
n6ARing,0.27989949688538796,0.3183126489906719,-0.009369217277033954,0.13597637486321845,0.49139104302411596,0.707669811611022,0.49429568216719727,-0.2956858714951618,0.23518787064133218,0.17042040036253256,0.3290732903610758,-0.046572667296254464,0.049854965736978105,0.38307301509688574,0.08591777988258711,0.2805414554896699,1.0,-0.26173891125262466,0.43901106809878243,0.11986636834908866,0.19065837917144968,-0.18385938605476174,0.2679593231955726,0.3144283721544193,0.2775490022989712,-0.34410124555401883,0.34083657126872463,0.3420227846005631
ATSC3v,-0.211086861267253,-0.32838048883726906,-0.08255126906810191,-0.1967230400737313,0.20554166946277438,-0.10520589097017487,-0.15599059390714692,0.6835788249102817,-0.38586810487283935,-0.3407616914974301,-0.177922473258325,-0.04580582884541774,-0.15738983060438208,-0.33290379332618436,-0.33406856931952644,-0.6830875007903752,-0.26173891125262466,1.0,-0.1392661551163799,-0.44106044802092464,0.07420556126301188,0.7465020327844658,-0.2518478780441313,-0.30471730298472305,-0.005316448993582765,0.2882447280831856,-0.24904872369349523,0.2531058169162192
nAHRing,0.4504792431242691,0.07275612390811553,0.05844680338125131,0.584692893790747,0.18202489062188207,0.7064612909768221,0.38633521724803976,-0.10305379330239633,0.19229184419926024,0.0239371718603986,0.21876559041217863,-0.008211715903686738,0.6419980576136614,0.2596406612901464,-0.1326333116388741,0.17092419898413233,0.43901106809878243,-0.1392661551163799,1.0,0.000440176301364106,0.5087426900544679,-0.10011819192210075,0.1420497061555936,0.345702393722034,0.3993429488958199,-0.06292806279362918,0.08211717344907914,0.1356732858678211
ATSC6m,0.1364417844402006,0.25792611703909024,0.29795706579901254,0.09291062921627957,-0.09212659256434416,0.026088460474063446,0.11576054903203216,-0.48345241059674154,0.21919249051972753,0.5686314752043767,0.05155478430655419,0.28659587042084445,0.04617849637427626,0.20650247879514552,0.781400258217275,0.35940753834646644,0.11986636834908866,-0.44106044802092464,0.000440176301364106,1.0,-0.050418066864685744,-0.41714709737480293,0.14415010821180976,0.15202562269780315,-0.09678471808577728,-0.18905287410124064,0.12304686246025805,-0.17126941139642174
nHRing,0.237581989647593,-0.07917750080297568,0.10079995904946562,0.228345191121606,0.05385509700933744,0.3282198182390755,0.3800999513779246,0.1198945020040852,0.022512196589596214,0.13892924133696902,-0.0284197489842258,0.0847796112266753,0.2951560052980901,0.10553020868535393,-0.016217229201587257,-0.21097918044205619,0.19065837917144968,0.07420556126301188,0.5087426900544679,-0.050418066864685744,1.0,0.13474014154549602,-0.07025931743293512,0.3128757052857969,0.16972630309512993,-0.15493108614415674,0.010091174240606364,0.06971878952779655
ATSC2d,-0.21075339466787268,-0.20928708381254837,-0.16529885140316328,-0.06181606255689396,0.07504401277604957,-0.08950223356524209,0.04555763492884022,0.6096167727214764,-0.2840525554364442,-0.4431293362116935,0.007349064818192973,-0.0928333189610895,-0.05514191250898226,-0.333056093999394,-0.3562172405076724,-0.7173255779843424,-0.18385938605476174,0.7465020327844658,-0.10011819192210075,-0.41714709737480293,0.13474014154549602,1.0,-0.186417352530322,-0.11236952716795136,0.005728537896969927,0.21361193987542304,-0.17536066697465302,0.06323106559985775
PEOE_VSA7,0.22515875684739722,0.3480456952549543,-0.07080030376137261,0.25884314831643085,0.39200551463312977,0.27151519070183394,0.4614887661616733,-0.2676577153919288,0.23217184279039466,0.1268394812461609,0.21404590007540442,-0.08487688355388458,0.20221054182749507,0.09294037948839436,0.11426896989489363,0.20615976317884976,0.2679593231955726,-0.2518478780441313,0.1420497061555936,0.14415010821180976,-0.07025931743293512,-0.186417352530322,1.0,0.4324429039510655,0.3212519654211112,-0.11782373754403733,0.024900128584354697,0.3026949145563259
Xc-3dv,0.17291221662042325,0.5319466873961866,-0.04868196450609096,0.30467469480622295,0.11093182311132335,0.4700132521820244,0.8665130190952289,-0.10202210224015697,0.764289030518608,0.03112206219343263,0.43351317412806983,-0.022365023479302488,0.2433883730448157,0.5176847731121448,0.018492167176818133,0.3617374449261404,0.3144283721544193,-0.30471730298472305,0.345702393722034,0.15202562269780315,0.3128757052857969,-0.11236952716795136,0.4324429039510655,1.0,0.037170635637877626,-0.21565851202924055,0.1280393825917589,0.07081578180618957
SMR_VSA6,0.25908604002760954,0.016920563539481563,0.054169639564690696,0.15788151223434266,0.29309108610063045,0.22348567373098402,0.10221155221032292,-0.24602917932654456,-0.05756171871130236,-0.012159065810139156,-0.0825879069691594,-0.008245527092668476,0.20456462701044825,-0.0378236821560138,-0.1769186386485897,-0.030702505616733558,0.2775490022989712,-0.005316448993582765,0.3993429488958199,-0.09678471808577728,0.16972630309512993,0.005728537896969927,0.3212519654211112,0.037170635637877626,1.0,-0.0528178082619701,0.10930522254800092,0.28641078452595176
GATS4dv,-0.1323095340146448,-0.1696161226155296,-0.13764423302596823,-0.08525121600186697,-0.20386137546159802,-0.19714002810055048,-0.20463625458647974,0.12637693371880637,-0.2119219105463341,-0.3695713671784782,-0.08435244652971838,-0.12361287957734149,-0.03629816573040073,-0.25944575044061663,-0.2750445093775511,-0.18564980320278118,-0.34410124555401883,0.2882447280831856,-0.06292806279362918,-0.18905287410124064,-0.15493108614415674,0.21361193987542304,-0.11782373754403733,-0.21565851202924055,-0.0528178082619701,1.0,-0.6260749948978062,-0.11230927227581734
MATS4s,0.13815571847414104,0.17463361454288642,0.1812143166385122,0.03836048749168836,0.21881997254825986,0.23730953322812567,0.1292743239483225,-0.23257961696170573,0.248022003460627,0.14315027430147517,0.11921354106646972,0.12228520077340674,-0.028774620954207797,0.29207923209507985,0.11188064129564149,0.3355484022811879,0.34083657126872463,-0.24904872369349523,0.08211717344907914,0.12304686246025805,0.010091174240606364,-0.17536066697465302,0.024900128584354697,0.1280393825917589,0.10930522254800092,-0.6260749948978062,1.0,0.17644887359461303
MAXssCH2,0.15963266960489586,0.19434502654703134,0.07604432124603627,0.06954321823408884,0.822310641579809,0.3321548617223134,0.16769161299288077,0.16234435613058076,0.04409972409300281,-0.02678246262698705,0.15086204429783134,0.036242077508940256,0.031703636131329684,0.07008634837806155,-0.07478369442777143,0.08436918029123633,0.3420227846005631,0.2531058169162192,0.1356732858678211,-0.17126941139642174,0.06971878952779655,0.06323106559985775,0.3026949145563259,0.07081578180618957,0.28641078452595176,-0.11230927227581734,0.17644887359461303,1.0
