,ID,SMILES,IC50 (uM)
144,162654928,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CN=C(C=C2)C3=CN=CC=C3)NC(=O)[C@H]4CC45CCN(CC5)C,0.014
145,162654936,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(N=C(C=C2)OC)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.018
146,162655311,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC=C(C=C2)N3C(=CC(=N3)C)C)NC(=O)[C@H]4CC45CCN(CC5)C,0.07
147,162655734,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC=C2F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.37
148,162655735,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C(C=C2)C(=O)NC3=NC=CC(=C3)C(F)(F)F)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,0.087
149,162657089,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C3C=C(OC3=C2)C(=O)OCC)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,0.0091
150,162657130,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)[N+](=O)[O-])OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.043
151,162506733,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC3=C(C=CC=N3)N=C2)NC(=O)[C@H]4CC45CCN(CC5)C,0.092
152,162657585,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.0094
153,162659197,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC=C(C=C2)C(=O)NC3CCOC3)NC(=O)[C@H]4CC45CCN(CC5)C,0.07
154,162662124,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CN=C(N=C2)N3C=C(C=N3)C)NC(=O)[C@H]4CC45CCN(CC5)C,0.491
155,162662875,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C(C=C2)Cl)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.064
156,162663227,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CCC(N=C2OC)C)NC(=O)[C@H]3CC34CCN(CC4)CC,0.0014
157,162669903,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)C3CC3C(=O)OCC)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,0.039
158,162670307,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C(C=C2F)C(=O)NC3=NC=CC(=C3)C(F)(F)F)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,0.32
159,162670894,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC(=C(C=C2OC)F)C(=O)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.154
160,162671564,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)C)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.002
161,162672989,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC(=C(C=C2OC)F)F)NC(=O)[C@H]3CC34CCN(CC4)CC,0.027
162,162673789,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C(=CC=C2)C(F)(F)F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.063
163,162674059,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C(=CC(=C2)F)F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.027
164,162674484,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)C#N)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,0.062
165,162676857,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2F)F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,1.553
166,11947684,C/C=C\1/C(=O)N[C@H](C(=O)O[C@@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,0.001
167,12136798,C1=CC(=CN=C1)/C=C/C(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,0.2
168,139035087,CCCCCCCCCCCCCCCCNNC(=O)C1=CC=CS1,>10
169,162676473,CC1=CN(N=C1CN2CCC(CC2)C3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N)C,0.6
170,162643144,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=CC=C2)C(=O)N)NC(=O)C3CN(C3)C,0.0181
171,162644726,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)F)C#N)NC(=O)C3=NOC=C3,0.164
172,162646027,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)F)C#N)NC(=O)C34CCN(CC3)CC4,0.0269
173,162646379,CCC(=O)CCCCCC(C1=C(N=C(N1)C2=CC=CC=C2)C(=O)N)NC(=O)C3=CN=CS3,0.0267
174,162647783,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)C3=CN=CC=C3)C#N)NC(=O)[C@H]4CC45CCN(CC5)C,0.0017
